Age,Income,Employment_Type,Years_Employed,Loan_Amount,Loan_Term,Credit_History,Existing_Debt,Debt_to_Income,Previous_Default,Savings,Dependents,Property_Owned,Loan_Purpose,Risk_Label
56,1030681,Self-Employed,2,1849678,36,Good,762002,0.7393182378269922,0,142483,3,1,Business,0
61,2302048,Business,39,121295,180,Average,743974,0.3231790461454122,0,887121,0,0,Business,0
31,1176731,Business,8,875816,12,Bad,374705,0.31842849518836913,1,554594,3,0,Personal,1
36,2324664,Self-Employed,3,1569163,36,Average,373616,0.1607182110110489,1,657409,0,1,Education,0
32,237796,Self-Employed,10,1040198,60,Average,698376,2.9368579082158313,0,269544,2,0,Car,1
39,1708015,Self-Employed,15,640978,24,Average,528787,0.30959136214180666,1,907317,0,0,Home,0
44,1591091,Business,10,428480,180,Good,32711,0.020558836321218382,0,791971,5,0,Home,0
60,1872290,Self-Employed,24,1835954,60,Average,133272,0.0711812426593943,1,767836,1,0,Car,1
38,1246081,Business,2,504351,180,Bad,312252,0.2505870400182332,1,636584,3,1,Car,1
53,2255619,Business,32,1086685,60,Good,480047,0.21282263856500652,1,1107447,2,0,Business,0
37,2025279,Salaried,0,306687,60,Average,725451,0.35819787881181864,1,107450,2,1,Business,0
42,2499126,Self-Employed,21,1498685,60,Good,116381,0.04656866177669242,0,134508,2,1,Personal,0
28,1319386,Business,2,1672241,180,Bad,360032,0.2728782381515052,1,1046811,0,1,Car,1
25,849903,Salaried,2,1024339,120,Average,627234,0.7380057041736479,1,630271,0,0,Business,1
64,244123,Self-Employed,29,1404204,12,Average,82989,0.33994609296914685,1,1346932,5,0,Education,1
55,2051760,Business,30,1085362,120,Average,459451,0.2239300776260003,1,648307,4,0,Business,0
41,2187359,Self-Employed,0,168015,180,Bad,740674,0.3386154999634262,0,254079,1,0,Car,0
45,808105,Salaried,21,1033609,36,Bad,365890,0.4527747597468649,0,1017703,5,1,Business,1
44,1172590,Self-Employed,21,1116646,180,Average,56958,0.048574481639378095,1,1130650,1,0,Personal,1
22,1344665,Salaried,0,208823,120,Good,630152,0.46863087190424985,1,1441578,5,0,Business,1
59,2452514,Salaried,24,847079,60,Good,664076,0.2707734713141408,1,219963,1,0,Business,0
27,2438136,Business,3,1955324,180,Bad,782355,0.32088229660597417,1,264512,5,0,Home,1
36,1652875,Salaried,2,498982,120,Average,124046,0.07504858198679151,0,406619,1,1,Home,0
22,786326,Self-Employed,0,1328805,120,Good,118834,0.15112542237516963,1,1142424,1,1,Home,1
42,175609,Business,21,1129600,24,Good,70313,0.40039291612094985,1,1438533,5,0,Business,1
63,581243,Business,36,1212208,12,Bad,251451,0.4326083366021843,0,3051,3,0,Business,1
25,1124646,Business,3,1021525,24,Good,721772,0.6417764863108157,0,189407,3,0,Car,0
50,1380386,Business,22,777975,180,Good,73523,0.0532625995463591,1,1143052,1,0,Personal,0
62,342866,Self-Employed,16,1696711,120,Good,344894,1.005911913365824,0,28251,1,0,Education,1
46,303062,Business,8,150235,120,Good,74740,0.2466153901993975,0,378496,1,0,Home,0
21,1163233,Business,0,227247,120,Average,663165,0.5701045533400846,0,529525,0,0,Personal,0
60,307628,Business,0,1232991,60,Average,406716,1.3220990218737505,1,446438,4,0,Education,1
42,2469916,Business,2,790427,24,Good,512153,0.2073563605578649,1,67215,2,1,Home,0
57,323861,Salaried,28,1553181,12,Bad,9435,0.029132778776145396,1,447556,0,1,Home,1
50,198781,Salaried,19,210196,60,Bad,226507,1.139474399090461,1,306063,1,1,Car,1
46,1859183,Salaried,20,1455478,36,Average,484963,0.26084723190388903,1,1367293,5,1,Education,1
57,408790,Salaried,9,1833541,24,Average,360260,0.8812816329126619,1,650419,1,0,Personal,1
39,1007225,Salaried,0,1402695,60,Average,9540,0.009471558518147863,1,1446403,1,1,Home,1
48,841747,Salaried,23,1813211,12,Good,536226,0.637038638642444,1,952699,0,1,Car,1
53,1524330,Business,11,1598098,60,Bad,491072,0.3221557522611559,0,1086880,1,1,Car,0
63,2175723,Self-Employed,28,158940,24,Good,265517,0.12203615899810821,1,667521,4,1,Business,0
55,2049305,Business,7,662956,120,Bad,638873,0.3117509049405018,1,1386073,5,0,Education,1
54,123267,Self-Employed,10,181484,60,Bad,531831,4.314428724405361,1,892323,0,0,Car,1
41,636771,Business,9,613044,12,Bad,543176,0.8530148938709616,0,691095,2,0,Personal,1
55,2303151,Self-Employed,17,120640,180,Average,196582,0.08535346342751152,1,400573,4,1,Personal,0
32,1335856,Business,6,1694044,12,Average,698646,0.5229946019671268,1,637144,2,0,Home,1
61,1018320,Self-Employed,19,1276607,60,Bad,119180,0.11703578734014128,1,66234,2,1,Car,1
56,529995,Self-Employed,18,1823832,120,Good,59163,0.1116291443709009,0,51934,3,1,Business,0
39,125486,Self-Employed,15,923332,36,Bad,650308,5.182273861037398,1,1039458,3,1,Education,1
45,1929891,Business,20,372710,24,Good,197775,0.10247982788674184,1,289336,4,1,Personal,0
62,1009465,Salaried,4,991218,60,Average,38102,0.03774470858850125,1,74460,2,1,Education,1
31,1896203,Salaried,8,1253273,120,Average,213945,0.11282805014650323,0,231915,0,0,Personal,0
58,645830,Salaried,12,1804279,24,Average,39081,0.06051273475568686,0,718216,1,1,Personal,0
47,925497,Business,1,1313108,180,Good,612380,0.661676200272718,0,1365413,2,0,Personal,0
28,1182383,Salaried,4,207504,120,Good,238067,0.20134490994465418,0,692440,4,0,Car,0
24,1335557,Self-Employed,3,69870,120,Average,203196,0.15214314915563382,0,248683,5,0,Car,0
59,1811738,Business,9,498345,36,Average,749074,0.4134558013047133,1,1134764,4,1,Business,0
48,910141,Self-Employed,25,1128931,24,Average,711131,0.7813407138666274,0,451015,4,1,Business,0
61,425062,Business,0,1662162,36,Bad,501708,1.1803144475054286,0,866651,5,0,Car,1
45,1988599,Self-Employed,0,1988341,12,Average,242804,0.12209795836266721,1,1425541,1,0,Home,1
64,1673068,Self-Employed,31,1514492,60,Good,758574,0.45340269887255097,1,128148,5,1,Personal,1
41,851899,Self-Employed,4,309747,12,Average,615650,0.7226787181594084,1,423570,3,0,Personal,1
38,978158,Self-Employed,8,102528,12,Bad,259214,0.26500190664298956,1,970240,4,1,Business,1
23,2372728,Self-Employed,2,915291,180,Bad,11023,0.004645705430329381,0,545735,5,0,Home,0
32,1454679,Self-Employed,11,955588,36,Average,160775,0.11052258916050266,0,1057913,3,0,Home,0
56,1464027,Salaried,27,1225592,24,Good,791267,0.540472586589874,0,497562,5,0,Car,0
37,2124168,Business,0,367428,12,Average,319187,0.15026440928193566,1,1042892,3,1,Car,0
49,1720396,Salaried,13,172402,36,Average,118012,0.06859579504033081,0,438661,1,0,Home,0
25,695278,Self-Employed,0,1228049,24,Good,478007,0.6875038653547713,1,844573,1,0,Education,1
25,645303,Salaried,0,1160389,12,Good,27712,0.0429441007649108,0,112816,2,1,Home,0
41,255230,Business,16,1931548,12,Good,151456,0.5934075406200657,1,862312,2,1,Home,1
21,120404,Business,0,1008447,12,Bad,703286,5.84100328059466,0,1323483,0,0,Car,1
25,2452517,Self-Employed,2,1149188,60,Good,200244,0.08164833040980739,1,1053385,1,1,Business,0
39,1313104,Business,13,1137341,24,Good,316076,0.2407088542043477,1,934604,3,0,Home,0
21,820903,Business,0,1993327,120,Bad,92193,0.11230667654195862,0,1084763,1,1,Car,1
54,1480642,Salaried,11,690053,120,Bad,631172,0.4262823651616223,1,125917,5,1,Home,1
37,1091375,Salaried,14,589542,12,Bad,44238,0.040534151383207984,1,1252,4,1,Home,1
34,1654026,Business,2,1420214,12,Bad,605605,0.36613973048807547,1,327359,3,1,Personal,1
54,126949,Salaried,33,1827489,60,Bad,662301,5.2170224497833795,0,550222,2,1,Education,1
54,1484133,Salaried,32,1982247,36,Good,304462,0.20514454894234618,1,250875,5,1,Education,0
62,373490,Business,16,1346516,24,Bad,365340,0.9781761809521514,1,433027,1,1,Business,1
37,1679312,Business,4,273777,36,Bad,5569,0.0033162370564629702,1,594124,5,1,Personal,1
63,2475242,Self-Employed,10,821954,120,Good,661614,0.26729254461077157,0,679574,2,0,Personal,0
36,1192647,Salaried,3,1078455,12,Good,172312,0.14447850497380618,1,1305794,2,0,Education,0
47,2070367,Salaried,17,1651596,180,Good,645753,0.3119025216773057,0,928818,2,1,Car,0
41,1649297,Business,9,1135244,24,Average,285205,0.17292508691576658,0,1389972,5,0,Home,0
21,1167172,Salaried,0,1465400,60,Good,147979,0.1267841185496923,0,1198425,5,1,Business,0
54,2214157,Salaried,25,1997436,60,Good,212890,0.09614941661796493,0,1072200,1,0,Car,0
42,2403869,Self-Employed,10,1479551,24,Good,183868,0.07648832923577398,1,659792,1,0,Car,0
56,2427328,Business,7,964032,24,Average,472930,0.19483555793219626,0,917559,5,1,Personal,0
34,509593,Salaried,11,1172262,36,Average,67661,0.1327743262283308,1,568535,1,1,Home,1
46,2483917,Business,23,1357506,60,Good,660482,0.26590330276603336,0,804462,5,1,Business,0
63,973499,Self-Employed,17,680265,120,Average,613157,0.6298479712378018,1,821106,0,0,Education,1
57,2439049,Business,16,145462,24,Bad,399445,0.16377073040733073,0,1498585,5,1,Car,0
64,778956,Business,19,1497960,36,Average,632387,0.8118381374068145,1,531849,2,0,Personal,1
61,1817900,Salaried,17,76734,180,Average,26069,0.0143401648384593,1,537198,0,0,Education,0
64,2408228,Self-Employed,5,1052163,60,Bad,709913,0.2947863346882709,1,572735,1,0,Personal,1
26,1434532,Salaried,0,1812592,180,Good,116421,0.08115602778046932,1,525893,3,0,Education,1
50,307210,Self-Employed,29,1884813,36,Bad,144990,0.47195575679256274,1,1207094,0,0,Business,1
23,538034,Business,2,1083255,60,Average,790756,1.469711078275577,0,795543,5,1,Business,0
22,1852682,Self-Employed,1,1841822,12,Average,762501,0.4115658210282061,1,387952,5,0,Education,1
58,2477821,Business,1,575134,12,Good,535242,0.21601309537166108,1,1389959,1,0,Personal,0
64,2354693,Self-Employed,25,1927109,60,Average,64323,0.027316925256530147,0,616210,3,1,Business,0
53,1074480,Business,11,439678,12,Good,104537,0.0972906919712866,1,864909,5,0,Business,0
57,1170493,Business,10,1655118,12,Bad,786275,0.6717462883192908,1,1416012,2,1,Personal,1
23,402272,Salaried,1,816641,120,Bad,714743,1.7767610553032394,0,589833,4,0,Car,1
43,523081,Self-Employed,11,351953,24,Good,378892,0.7243453225306931,0,5287,1,0,Business,0
40,776702,Salaried,4,1207448,180,Average,772042,0.9939989931801474,1,93070,5,0,Car,1
55,1131293,Business,30,1467008,120,Bad,607812,0.5372714785016096,1,227645,3,1,Personal,1
64,1473649,Salaried,13,1428164,24,Average,663927,0.45053235164387745,1,888266,0,0,Education,1
54,1504418,Self-Employed,0,1759351,120,Bad,691519,0.45965851268828695,0,1092501,3,1,Car,1
49,652295,Salaried,10,1533624,36,Average,58596,0.0898303837521616,0,948027,5,1,Education,0
55,993172,Salaried,4,1511074,24,Good,679290,0.6839593907607234,1,499097,5,1,Education,1
24,1182636,Business,1,1575848,36,Bad,518545,0.4384650573252824,1,829735,5,1,Personal,1
52,455484,Salaried,5,1039024,180,Average,218134,0.4789049035643325,0,1151550,0,0,Personal,0
45,809376,Business,14,488774,36,Good,511937,0.6325074717962087,1,411597,4,0,Business,0
60,2309415,Self-Employed,38,903938,180,Bad,565445,0.24484328505561578,1,1272386,2,1,Education,1
28,1658601,Business,7,1024323,12,Good,343054,0.20683322460722947,1,906862,4,0,Home,0
53,1227955,Business,29,1501238,24,Bad,656282,0.5344507457921945,1,98723,4,1,Personal,1
58,2052728,Business,32,1929036,36,Average,32154,0.015664025792006642,0,1262518,0,1,Home,0
24,2498325,Business,1,1130841,12,Bad,365060,0.14612184318619748,1,1291898,1,0,Car,1
53,1739061,Self-Employed,12,1253358,180,Good,684846,0.3938019461065793,1,1120483,4,0,Home,0
44,2019443,Business,23,1489758,60,Average,756892,0.37480217327145493,1,1330823,4,1,Personal,1
49,1827692,Self-Employed,1,197550,36,Good,232050,0.12696333574621121,1,432882,3,1,Personal,0
56,1660889,Business,26,645603,36,Average,388349,0.23381981949436748,1,1062729,5,0,Business,0
26,2099079,Salaried,1,126077,24,Bad,133515,0.06360643710577968,1,993497,4,1,Home,1
60,245885,Self-Employed,17,591656,24,Good,670688,2.72763801111084,0,188014,3,0,Business,1
63,2171531,Self-Employed,35,1310527,36,Average,505155,0.23262609070462698,1,195716,4,0,Business,0
28,120126,Business,1,1126208,120,Average,500315,4.164883831278564,1,1158521,0,1,Home,1
49,2396106,Salaried,22,1133136,180,Bad,284260,0.11863410106476881,1,132717,3,1,Education,1
43,614592,Self-Employed,21,1267078,180,Average,432498,0.7037144907280103,0,330388,0,1,Business,0
29,2274697,Business,3,875656,12,Average,13224,0.00581351898142083,1,40738,3,1,Home,0
45,1137433,Salaried,10,516725,180,Average,663937,0.5837147474051242,1,1174737,2,0,Car,1
54,2207258,Business,16,712143,24,Average,566202,0.2565181521516052,1,1250155,2,1,Personal,0
44,2196696,Business,6,856388,120,Average,218967,0.0996801106388364,1,383152,4,1,Home,0
63,1959765,Salaried,25,1764331,24,Average,147313,0.07516866809608902,1,158768,0,0,Business,1
40,139816,Salaried,16,807907,60,Bad,314997,2.2529234642425457,0,1204565,3,0,Home,1
60,1158896,Self-Employed,6,780880,24,Good,526047,0.4539204088025079,0,781452,5,0,Education,0
43,253554,Salaried,18,1192077,12,Good,264223,1.0420737118179488,1,1108252,0,0,Home,1
49,1783261,Self-Employed,15,1716471,120,Bad,220178,0.12346923783493396,1,1198097,0,0,Car,1
34,944690,Self-Employed,1,1236293,12,Bad,381915,0.4042750486667069,0,562288,1,1,Car,1
50,420709,Self-Employed,18,1950163,24,Bad,186240,0.4426802310380072,0,1323062,2,0,Car,0
52,1137289,Self-Employed,18,1960637,12,Bad,183675,0.1615023432897502,0,652465,4,1,Personal,0
28,1376182,Business,2,555815,120,Good,292822,0.21277838775802346,1,76218,4,0,Home,0
28,1855416,Self-Employed,6,512052,24,Average,334402,0.18023010460721228,1,1088562,0,0,Personal,0
48,592327,Business,1,647794,12,Bad,34911,0.05893862859766886,0,425037,5,0,Home,1
63,436915,Salaried,36,1744164,24,Good,611213,1.398925651612667,0,768734,1,0,Education,0
27,1959433,Self-Employed,6,328176,12,Good,526486,0.2686928980511719,0,708754,4,0,Personal,0
39,264931,Business,17,451921,180,Good,260910,0.984818745942355,0,1071812,3,1,Business,1
31,2057878,Business,6,428387,180,Bad,538884,0.261863792769157,0,996261,5,1,Personal,0
29,2355307,Business,2,956739,36,Bad,781817,0.3319383282356278,1,1305289,5,0,Car,1
43,337215,Business,16,1782465,12,Good,35954,0.10662008920098691,1,1076432,5,0,Home,1
29,1006040,Business,6,1122328,60,Bad,148757,0.14786375505570848,0,1362413,3,0,Home,0
46,1406585,Business,12,1355185,120,Average,388822,0.2764295961995925,0,336676,2,0,Car,0
26,1134929,Salaried,4,535417,180,Average,431459,0.3801635343148917,1,188456,5,1,Home,0
54,2126032,Business,24,1744693,180,Bad,652665,0.30698723867409394,0,573044,1,1,Business,0
42,836756,Self-Employed,5,1127978,36,Bad,4263,0.005094669061627211,1,1040993,3,1,Business,1
27,344137,Self-Employed,4,979168,12,Good,297881,0.8655858986801807,0,363476,3,0,Education,1
22,1269947,Business,1,1083578,24,Average,192192,0.15133848000075595,0,1198898,4,0,Business,0
56,2173490,Self-Employed,25,1676140,180,Average,581780,0.2676707656024341,1,708362,2,0,Education,1
56,1390896,Self-Employed,34,428165,120,Good,708662,0.5094999845423492,1,416366,5,0,Personal,0
42,765188,Salaried,0,1681993,60,Good,761379,0.9950208379890458,1,1254126,3,1,Home,1
39,1629090,Salaried,10,979616,60,Average,121789,0.07475886859604527,1,679418,4,0,Car,0
63,1234593,Self-Employed,8,1786857,36,Good,499137,0.40429242325817233,0,656884,0,0,Education,0
29,1726872,Business,7,1153913,12,Good,275494,0.1595334457137265,1,1072930,2,1,Business,0
57,1778987,Salaried,29,1643445,36,Good,613217,0.3446999080376034,1,285195,2,1,Education,0
57,1500346,Salaried,16,230553,60,Good,560696,0.3737108815494016,1,880438,0,0,Personal,0
32,819983,Self-Employed,7,443554,12,Average,202503,0.24695969677457122,0,1191902,4,1,Home,0
37,2140836,Self-Employed,15,370197,12,Good,464071,0.21677082374790793,0,671256,1,1,Car,0
45,895435,Salaried,14,1356170,36,Good,511897,0.5716734641001702,0,1401320,4,1,Education,0
46,1684718,Self-Employed,9,1652575,12,Bad,369040,0.21905136702322464,0,612121,4,1,Education,0
42,2049465,Business,6,1143389,180,Good,692558,0.337921195082036,0,664180,0,1,Business,0
28,1645233,Self-Employed,2,1848870,120,Average,755164,0.459000968859141,0,399953,5,0,Personal,0
59,401570,Business,17,1347897,60,Good,66150,0.1647280306595845,0,1138189,2,1,Car,0
64,2051451,Salaried,33,1049554,60,Average,134055,0.06534639855088006,0,490457,3,0,Car,0
59,1262647,Business,3,891052,36,Bad,146389,0.11593809200980795,0,269708,1,1,Business,0
53,1131727,Self-Employed,1,173618,36,Average,459297,0.40583691487707296,1,1173917,2,0,Car,0
33,870865,Self-Employed,2,932554,36,Bad,564262,0.6479320584337889,0,893741,3,1,Education,1
49,2213373,Business,20,1291835,12,Good,275128,0.12430253540522297,1,819471,3,1,Car,0
30,1979582,Business,6,300195,24,Bad,143748,0.07261529322084499,0,1452608,5,0,Personal,0
23,2327148,Salaried,1,599239,60,Bad,556701,0.23922017885403984,1,1214449,3,1,Education,1
38,1019005,Business,4,483816,60,Bad,713135,0.6998339558353925,0,1270464,4,1,Business,0
35,286472,Salaried,14,261760,180,Good,122744,0.42846620798469665,1,1091577,4,0,Car,1
57,2455658,Self-Employed,5,1754742,12,Bad,711998,0.2899417223645465,0,912727,2,0,Personal,0
33,299352,Salaried,6,1965443,36,Average,193283,0.6456691598213481,1,972346,3,1,Personal,1
49,1118974,Salaried,21,1402564,120,Bad,326898,0.2921405750798722,0,951661,1,0,Home,0
63,1415160,Business,25,526072,12,Average,682736,0.4824440470024259,0,1026553,2,1,Education,0
26,1088452,Business,5,1564542,24,Bad,66262,0.060877226669410624,0,833032,2,1,Home,0
40,408316,Salaried,9,527602,24,Good,780977,1.9126732416235426,0,944189,0,0,Car,0
44,1852767,Salaried,2,1422133,120,Average,578316,0.31213621996925683,0,793719,4,1,Business,0
45,835080,Business,3,84701,180,Good,83300,0.09975080261675215,1,765537,2,1,Education,0
61,2459767,Salaried,2,93642,120,Bad,517083,0.21021616672791907,0,491036,0,1,Business,0
23,1262953,Self-Employed,0,1931550,24,Average,326916,0.2588502827498072,1,312250,1,0,Business,1
44,976101,Salaried,7,1775690,60,Average,135044,0.13835029535847687,0,1160793,1,1,Home,0
26,1012964,Business,3,453119,12,Average,658380,0.6499533547555937,1,1135564,0,0,Education,1
60,522732,Salaried,31,576684,180,Bad,84082,0.16085075937428858,0,128322,1,1,Home,0
60,1418266,Business,12,1882684,180,Bad,99616,0.07023783250967554,1,910597,2,1,Car,1
36,1188199,Self-Employed,11,540042,180,Bad,458298,0.38570779330079114,0,1047343,0,0,Car,0
33,546346,Salaried,12,934056,60,Average,681652,1.2476539635067092,0,1117850,5,0,Education,0
27,168874,Business,4,1173129,12,Good,592632,3.509293856402665,0,709662,1,0,Personal,1
30,798250,Business,4,1528301,120,Bad,42534,0.05328399212778938,1,495518,1,0,Home,1
56,2343361,Self-Employed,13,1287580,36,Good,616412,0.2630459997217673,1,164134,1,1,Education,0
52,608972,Salaried,13,1173994,180,Bad,128232,0.21057091201087733,1,520551,1,0,Business,1
44,1494572,Salaried,2,182079,24,Average,202053,0.13519112147750562,1,600530,5,1,Education,0
27,1197833,Self-Employed,0,485423,120,Average,144353,0.12051169026759968,1,323390,3,0,Home,0
35,1784221,Self-Employed,4,1049701,120,Bad,727955,0.40799575389161213,1,1487331,1,1,Education,1
24,903066,Business,3,755552,36,Good,326032,0.36102747636664834,0,597897,5,1,Business,0
21,1422549,Self-Employed,0,1381673,12,Bad,376826,0.26489473129239743,1,1479359,4,0,Business,1
32,604090,Business,2,726787,24,Average,289227,0.47878051485620543,1,742406,4,1,Home,1
31,1081568,Business,5,1130174,36,Average,505934,0.46777783017079816,0,289226,1,0,Education,0
43,932461,Business,1,282732,12,Average,669648,0.7181504447366219,0,613474,4,0,Education,0
61,2430182,Business,14,1664710,36,Good,338076,0.13911544933035908,1,148554,3,1,Education,0
52,1622337,Self-Employed,14,1439517,180,Average,314451,0.19382582421172406,0,920597,2,0,Home,0
47,1606205,Salaried,11,274695,36,Bad,295900,0.18422294525110727,1,1101844,4,0,Car,1
40,693189,Self-Employed,18,1293064,12,Average,687556,0.9918723582279029,1,390530,2,0,Education,1
21,1967865,Business,0,291531,60,Average,246693,0.12536066988301034,1,994465,4,0,Personal,0
55,1406936,Self-Employed,23,1605979,180,Bad,26385,0.01875350495437962,1,431374,3,0,Car,1
36,1254106,Self-Employed,7,333707,60,Bad,377816,0.30126297038450467,1,1478236,4,1,Business,1
28,1898254,Business,2,293373,180,Average,347697,0.18316664515568246,1,1210355,2,1,Education,0
49,1775743,Self-Employed,11,1336836,24,Average,670611,0.3776507199235926,0,646701,0,0,Business,0
50,638349,Self-Employed,6,847968,180,Average,552829,0.8660280410433148,1,79083,3,0,Education,1
56,1534821,Business,21,1890117,12,Average,756097,0.4926284611505438,1,841047,2,0,Personal,1
33,835472,Self-Employed,7,1094244,36,Average,778513,0.9318230511339086,1,1206237,1,0,Car,1
51,1013093,Self-Employed,10,727164,24,Average,64288,0.06345709282652942,1,51195,5,1,Education,1
61,284053,Salaried,23,1829240,120,Average,436624,1.5371161821343828,1,1088075,0,1,Car,1
52,1789211,Business,19,1396208,24,Good,336585,0.18811912730296912,0,22431,1,0,Personal,0
53,693441,Business,32,948792,120,Bad,176076,0.25391597278503464,1,1268300,3,1,Personal,1
46,2005077,Salaried,6,1731601,60,Good,736421,0.3672779812057187,1,678758,1,1,Education,0
35,841001,Business,6,374912,12,Good,575335,0.6841065776300175,0,858058,4,0,Personal,0
23,1563717,Business,0,810581,12,Bad,642120,0.41063670047924244,1,916838,0,1,Home,1
32,484359,Salaried,1,1358507,12,Good,406845,0.8399640763068792,0,100734,2,1,Business,0
40,1267087,Business,3,1372373,60,Bad,683321,0.5392845642922985,1,606229,1,1,Home,1
23,272360,Salaried,1,611165,180,Bad,373706,1.3720980610292957,0,932817,5,1,Home,1
32,261398,Salaried,11,1617628,180,Bad,132632,0.50739291275024,0,865580,2,0,Personal,1
39,1319670,Business,13,644604,12,Average,28380,0.02150536004807259,1,634486,4,1,Car,0
52,759282,Salaried,11,856481,36,Bad,468933,0.6175997618806163,0,1217060,0,1,Home,1
23,2146395,Salaried,1,1893954,180,Bad,225314,0.10497317363617897,1,1487292,4,0,Business,1
35,1688560,Self-Employed,13,1473060,180,Average,508062,0.3008845993718912,1,132028,3,1,Car,1
57,1115843,Salaried,27,1910971,12,Bad,626045,0.5610506486569807,1,1481235,3,1,Business,1
44,1544945,Business,16,1441538,24,Bad,266847,0.17272254175874108,1,720488,3,0,Business,1
54,1583807,Business,1,339102,120,Good,288161,0.18194187679314663,0,1435397,1,1,Education,0
32,369474,Salaried,1,962935,120,Average,260116,0.7040151566411801,1,871310,0,1,Personal,1
55,139975,Salaried,29,979065,60,Average,197133,1.408334285877579,1,874829,1,1,Education,1
57,508076,Salaried,13,775495,180,Bad,297190,0.5849310242345156,0,1488856,3,0,Personal,1
22,2417574,Business,1,1200096,180,Bad,585560,0.24220965223416027,0,747512,3,1,Education,0
22,2210212,Business,0,194832,12,Good,152999,0.06922364496091553,0,348619,3,0,Business,0
43,1404382,Business,10,1806169,36,Average,44738,0.03185598230682086,0,557685,5,1,Car,0
36,1162377,Business,12,432729,12,Bad,111453,0.0958836110112201,0,1068392,0,1,Car,0
25,1585291,Salaried,0,421000,24,Average,213567,0.13471776808310393,1,595923,3,0,Home,0
63,437348,Salaried,36,1376283,60,Average,92324,0.21109914507635777,0,223536,0,0,Home,0
64,461815,Self-Employed,27,1968318,60,Bad,460494,0.9971373880506522,1,149381,3,0,Car,1
40,1057841,Self-Employed,13,1966545,120,Average,721864,0.6823930227765583,1,746788,3,1,Personal,1
46,1327068,Salaried,0,220102,180,Average,394274,0.2971013564479315,0,217285,4,1,Personal,0
25,1833136,Business,2,346141,120,Average,643561,0.35107086922581343,0,1297076,1,0,Home,0
